company_id,name,industry,description,year_founded,employees,state,city,area,revenue,expenses,profit,growth
179,Hatvollex,IT Services,An IT resource management and project implementation company.,2002,75,TX,FRISCO,Dallas,"$7,410,581","$5,898,202","$1,512,378",425%
180,Lamlex,Consumer Products & Services,"Sells heating and cooling equipment directly to homeowners, offering product choice, detailed information to help make that choice, and transparent pricing for appliances and installation.",2014,22,IL,Buffalo Grove,Chicago,"$6,110,189","$4,669,175","$1,441,014",350%
181,Kanware,Advertising & Marketing,"Partners with clients to generate more website visits, leads, and customers.",2014,17,AZ,Scottsdale,Phoenix,"$7,402,217","$2,519,702","$4,882,515",359%
182,Rankfind,Government Services,A certified small disadvantaged business that provides IT consulting and services such as as systems integration and management consulting.,2013,101,VA,Fairfax,"Washington, DC","$11,210,769","$1,837,223","$9,373,546",784%
183,Fixcan,Retail,"Sells plantation shutters, blinds, shades and other window treatments to homeowners in Atlanta, GA and Charlotte, NC.",2009,3,GA,Atlanta,Atlanta,"$12,184,061","$4,600,156","$7,583,905",269%
184,Technodexon,Software,"Provides a suite of lead management tools, including e-mail, fax and sales work-flow management built into contact management software, that improve lead contact rates by up to 65 percent.",2006,327,UT,Provo,"Provo-Orem, UT","$12,554,383","$3,538,667","$9,015,716",493%
185,Vaialane,Media,"Publishes, markets and fulfills orders for products, publications and services in the self-defense and personal protection industries.",2010,45,WI,West Bend,"Milwaukee-Waukesha-West Allis, WI","$12,532,632","$6,148,451","$6,384,182",460%
186,Donjob,Business Products & Services,"Serves church leaders by providing coaching and resources to improve their sermons, recruit & train volunteers and increase fundraising.",2013,8,GA,Cumming,Atlanta,"$12,439,695","$7,039,096","$5,400,599",369%
187,Fincorporation,Advertising & Marketing,"Creates personality-driven, direct response advertising campaigns for retail automotive dealerships in the United States and Canada.",2012,33,FL,Orlando,"Orlando, FL","$11,511,148","$1,778,030","$9,733,118",457%
188,Techlux,Telecommunications,Provides business class voice services in Western New York.,2012,8,NY,Buffalo,"Buffalo-Niagara Falls, NY","$8,800,946","$2,141,374","$6,659,571",585%
189,Sun-In,Advertising & Marketing,A performance marketing technology company that connects customers and service providers through its online marketing cloud.,2010,78,CA,san diego,San Diego,"$8,375,924","$5,299,483","$3,076,441",460%
190,Hatit,Food & Beverage,"Offers artisan-style pizzas Made-On-Demand"" using organic fresh-pressed dough and signature sauces. Customers can create their own pizzas and salads",2012,353,WA,Bellevue,Seattle,"$10,935,075","$1,818,536","$9,116,540",203%
191,Tamtex,Government Services,"Provides high-level analysis and management services to the government and private sectors, including organizational and workforce analysis, competency modeling & management and project management.",2009,98,VA,Fredericksburg,"Washington, DC","$11,205,036","$2,840,144","$8,364,892",370%
192,Itquadlab,Government Services,A VA-certified veteran-owned small business that specializes in providing acquisition management and program management support to the federal government.,2012,120,VA,Arlington,"Washington, DC","$8,198,522","$6,950,351","$1,248,171",406%
193,Bluefan,Advertising & Marketing,"Provides on-screen advertising, in-lobby promotions, and marketing services in independent theatre circuits in the US. The BeforeTheMovie pre-show now airs to more than 12 million viewers annually and the company represents theatrical exhibitor partners in 13 states with more than 500 screens.",2009,9,CA,Fairfield,"Vallejo-Fairfield, CA","$8,789,561","$7,224,844","$1,564,717",550%
194,Konkdom,Consumer Products & Services,"Develops and sells health and wellness products based on Moringa oleifera, a nutrient-rich tree. Products include liquid nutritionals, energy & performance, weight management and skin care items.",2010,172,UT,Lehi,"Provo-Orem, UT","$14,001,604","$1,306,967","$12,694,638",416%
195,Kaysolodex,IT Services,Provides in-house and outsourced IT services for midsize companies and corporations such as Starbucks and General Motors. Areas of expertise include application development and business intelligence.,2012,2670,MI,Madison Heights,Detroit,"$8,310,294","$5,879,731","$2,430,563",513%
196,Zunremlane,Consumer Products & Services,Creates and distributes unique screen printed and embroidered garments.,2013,37,IL,Chicago,Chicago,"$9,102,843","$4,973,717","$4,129,126",302%
197,Kinlax,Financial Services,"Specializes in safe financial retirement planning with an emphasis on personalized service, integrity and affordability.",2002,100,AZ,Tucson,"Tucson, AZ","$9,380,872","$8,212,849","$1,168,023",426%
198,Inchkix,Health,"Designs healthcare services, personal health tools, public health & emergency communications and innovative interactive media.",2011,29,MA,Northampton,"Springfield, MA","$8,724,297","$5,427,040","$3,297,257",426%
199,Highvivalux,Consumer Products & Services,"Offers a complete range of advanced steam cleaners for home, commercial and industrial uses.",2010,16,DE,Newark,Philadelphia,"$5,501,719","$867,508","$4,634,212",299%
200,Zathhow,Consumer Products & Services,Makes colorful gear and decorative home accessories for children.,2002,4,TN,Nashville,Nashville,"$7,232,098","$5,166,523","$2,065,575",563%
201,Blacktaxon,Real Estate,An event venue development firm that owns and rents out six unique New York City properties for events of clients like Google and Ralph Lauren.,2002,11,NY,New York,New York City,"$10,274,457","$3,752,711","$6,521,745",266%
202,Labam,Construction,Provides commercial and residential cooling and heating services including installation and maintenance.,2010,150,FL,Winter Garden,"Orlando, FL","$8,124,116","$5,173,904","$2,950,211",377%
203,Black-Tax,Construction,"Designs churches, government buildings, multifamily housing, commercial buildings and interiors, and educational institutions.",2012,22,MD,Columbia,Baltimore,"$5,166,324","$3,772,942","$1,393,382",444%
204,Med-City,Retail,"Offers shape wear, girdles, cinchers, intimates and maternity garments designed to be modern, comfortable and accessible.",2009,16,IL,Cicero,Chicago,"$10,488,577","$5,637,042","$4,851,535",447%
205,Sunviaway,Health,"Specializes in clinical research services for phase I-IV trials and registries for biopharmaceutical and medical device firms, especially those who specialize in oncology.",2014,486,NC,Morrisville,"Durham, NC","$1,614,585","$4,323,005","-$2,708,420",464%
206,Vaiatrax,Financial Services,"Provides services in financial management and accounting, mergers and acquisitions execution, due diligence, post-closing integration, and operations management.",2010,24,PA,Philadelphia,Philadelphia,"$10,650,059","$1,513,134","$9,136,925",317%
207,Ganzhex,Retail,Sells ready-to-assemble and pre-assembled kitchen cabinets nationwide.,2011,18,NY,Hopewell Junction,"Poughkeepsie-Newburgh-Middletown, NY","$5,307,243","$2,439,137","$2,868,106",508%
208,Plexfix,Media,Provides TV and commercial film and post production crews to clients from around the globe.,2008,12,TX,Austin,Austin,"$7,404,129","$6,015,275","$1,388,854",496%
209,Care-La,Business Products & Services,"Performs electronic discovery and review services, including forensic collection, processing, analytics, predictive coding, and managed review, for law firms, corporations, and governments.",2010,230,GA,Atlanta,Atlanta,"$7,266,698","$3,081,062","$4,185,637",468%
210,Dongstreet,Health,"Provides onsite medical services and support all over the world. Iit has delivered health care services to the U.S. and NATO forces in Afghanistan, the World Trade Center recovery project and during response to Hurricane Katrina.",2006,236,IN,Princeton,"Evansville, IN-KY","$7,042,297","$6,903,334","$138,963",338%
211,Sumtechi,Business Products & Services,Develops technology that expands the online network of recruitment advertising to connect employers and job seekers as well as the income stream of digital publishers.,2004,79,NY,New York,New York City,"$10,805,554","$1,944,900","$8,860,654",488%
212,Hatsaotam,Computer Hardware,"Offers solid-state, full HD, digital sign and kiosk media players for the commercial digital signage market.",2011,48,CA,Los Gatos,San Jose,"$6,028,952","$2,910,331","$3,118,621",327%
213,Mathstreet,Education,"Uses proprietary analytical marketing methods to sell educational products to consumers. Its main product line is the Pimsleur foreign language learning program. Other offerings include materials on memory enhancement, vocabulary development and photo reading.",2009,140,PA,Philadelphia,Philadelphia,"$9,150,382","$6,266,400","$2,883,983",223%
214,Basetrax,Construction,Offers commercial general construction and construction management services.,2011,28,NY,Buffalo,"Buffalo-Niagara Falls, NY","$9,391,015","$1,040,662","$8,350,353",302%
215,Linetouch,Financial Services,"Offers real estate investors and buyers competitive interest rates, exceptional customer service and healthy lending practices.",2012,937,PA,Plymouth Meeting,Philadelphia,"$10,514,846","$2,342,948","$8,171,897",314%
216,Zim-Fan,Food & Beverage,"Designs customized packages for tailgate parties that include tents, chairs, coolers, and TV and take place at its partner campuses.",2012,125,AL,Auburn,"Auburn-Opelika, AL","$8,236,758","$2,939,014","$5,297,745",295%
217,Jobin,Media,"Hosts a community for more than 16,000 professional and hobbyist photographers that offers tutorials, critiques, contests and opportunities to buy, sell and trade work.",2011,12,IL,Geneva,Chicago,"$8,001,019","$5,356,279","$2,644,740",404%
218,D-Ace,Consumer Products & Services,"Provides residential house cleaning services in 12 Southeastern U.S. Cities, featuring a unique payment model where employee wages are determined by customer feedback.",2014,149,AL,Mountain Brook,"Birmingham-Hoover, AL","$13,645,814","$6,258,489","$7,387,325",334%
219,Ganzlux,Logistics & Transportation,"An asset-based transportation provider offering full truckload and less than truckload freight services throughout the United States and Canada. Services include temperature control, hazardous materials transport and expedited transport.",2012,40,NJ,Edison,New York City,"$8,230,012","$5,454,788","$2,775,225",488%
220,Zenware,Health,A therapist-owned outpatient physical therapy clinic with three locations in Colorado.,2012,37,CO,Centennial,Denver,"$9,590,886","$1,692,982","$7,897,904",406%
221,Whitefase,Engineering,"A full-service, multi-discipline engineering firm with extensive refinery, petrochemical and terminals capabilities.",2010,240,TX,Corpus Christi,Austin,"$8,492,524","$2,714,283","$5,778,242",469%
222,Canstrip,Telecommunications,"Provides easy-to-use, multi-feature hosted audio conferencing, Web conferencing and video conferencing for businesses of all sizes.",2013,9,MA,Quincy,Boston,"$11,311,771","$2,421,284","$8,890,487",477%
223,Duotouch,Logistics & Transportation,"A third-party logistics brokerage that arranges a wide range of transportation and freight services, including temperature controlled, dry van, drayage, and less-than-truckload.",2013,15,OH,Rocky River,Cleveland,"$8,942,315","$3,738,984","$5,203,331",433%
224,Goodace,Manufacturing,A metals manufacturing and supply company with three plants that provide its customers in 13 industrial sectors with an array of metal processing services and products.,2012,38,MI,Dorr,"Allegan, MI","$7,858,271","$3,662,576","$4,195,695",302%
225,Tamqvocone,Health,"A wealth management company specializing in private equity in healthcare. It owns and manages Altus Health, whose operations include a surgical hospital, cancer centers and two freestanding emergency centers.",2013,979,TX,PEARLAND,Houston,"$9,045,108","$5,727,397","$3,317,711",461%
226,Vivaity,Construction,Specializes in design & build construction projects and self-performing heavy civil & interior renovation for the federal government.,2009,23,WA,Lakewood,Seattle,"$7,529,148","$3,147,929","$4,381,218",474%
227,O-Touch,Health,"Develops a population health management program that enables payers and care-delivery organizations to improve individual health and provider performance by integrating workflow, analytics, content and communication capabilities. This facilitates collaboration among healthcare stakeholders payers, providers and value-based healthcare organizations.",2005,393,TX,Frisco,Dallas,"$9,521,727","$3,669,858","$5,851,869",469%
228,Temp-Holdings,Human Resources,"Specializes in job placement services for flexible professional jobs, such as telecommuting, freelance, part-time, flexible and alternative schedule job opportunities.",2013,13,CO,Boulder,"Boulder, CO","$10,353,055","$4,798,186","$5,554,869",364%
229,Flexlane,IT Services,"Develops and delivers professional services in support of SAP applications. It is a member of the SAP PartnerEdge program, and its SAP-certified CompEZ and FormsEZ enhance SAP software by increasing efficiencies and maximizing profits for customers.",2004,120,MI,Novi,Detroit,"$7,733,374","$4,666,917","$3,066,457",323%
230,Zotcare,IT Services,Matches high impact IT and SAP professionals with quality companies to form productive teams. JDC specializes in middle and senior technology and management positions.,2005,75,GA,Atlanta,Atlanta,"$10,249,518","$1,261,501","$8,988,017",303%
231,Triolane,Food & Beverage,A craft brewery with a focus on traditional seasonal and unique specialty beers.,2003,100,IN,Indianapolis,"Indianapolis, IN","$6,879,766","$3,371,796","$3,507,970",272%
232,Roundla,IT Services,"Serves government agencies, the defense community and commercial businesses in the areas of strategic consulting, managed services and health care IT.",2012,1500,MD,Bethesda,"Washington, DC","$15,252,673","$628,139","$14,624,533",451%
233,Requote,Government Services,"Offers a diverse array of professional and technical services such as inspection services, facilities maintenance and staffing to federal agencies and state and local governments.",2014,61,MD,Bethesda,"Washington, DC","$5,994,715","$4,947,864","$1,046,852",347%
234,Tempkix,Advertising & Marketing,"Develops automated ad campaign tracking software for major online publishers like Facebook, Gawker Media and ESPN.",2011,21,CA,Poway,San Diego,"$7,241,642","$4,649,990","$2,591,652",209%
235,Medkix,Human Resources,"Provides specialized, professional-level recruitment and staffing services in permanent positions and contract consulting. It places talent primarily in accounting & finance and IT positions.",2012,48,AZ,Phoenix,Phoenix,"$7,069,939","$1,498,470","$5,571,469",578%
236,Toughfix,Education,"Provides demonstrations, classes and customized trainings on the topics of body language, confidence and mentoring for individuals and business groups.",2012,32,UT,South Jordan,Salt Lake City,"$10,360,478","$1,411,966","$8,948,511",441%
237,Freshholdings,Government Services,"Provides leader development, coaching & facilitation services, training & evaluation services, professional services and business processing services to government agencies.",2010,65,FL,Orlando,"Orlando, FL","$10,492,864","$392,917","$10,099,947",498%
238,Toughace,Business Products & Services,"Supplies IT equipment and office products to healthcare organizations, educational institutions and governments. It also provides system engineers and related IT services.",2012,7,OK,Claremore,"Tulsa, OK","$8,807,923","$5,208,781","$3,599,142",379%
239,Icezunzim,Software,A software development team for hire that builds mobile apps and the platforms that power them.,2012,14,VA,Richmond,"Richmond, VA","$6,150,397","$6,274,358","-$123,961",461%
240,Damzoom,Advertising & Marketing,"A full service media buying and marketing services agency that plans, executes and manages campaigns for a diverse client roster within the B2C, B2B and non-profit verticals.",2009,15,NY,White Plains,New York City,"$7,967,309","$3,101,168","$4,866,141",423%
241,Rank-Fix,Consumer Products & Services,"Produces large-scale group events, such as the Warrior Dash, Firefly Music Festival, Great Urban Race, The Cocoa Classic and Bacon Chase. It utilizes an in-house registration system known as RegistratioNation to register all of its event participants.",2011,95,IL,Chicago,Chicago,"$9,063,921","$1,481,219","$7,582,702",476%
242,Hottam,Software,"A Web-based case management system designed to accommodate any practice, large or small. Services include record collection, document storage and litigation and settlement.",2011,25,IN,Indianapolis,"Indianapolis, IN","$10,422,075","$1,875,020","$8,547,056",452%
243,Lattechi,Retail,A family-owned discount office products supplier specializing in hard-to-find writing instruments and products that have been discontinued elsewhere.,2012,30,IL,Hickory Hills,Chicago,"$10,285,548","$1,453,319","$8,832,228",284%
244,Citydrill,Manufacturing,"Designs, manufactures and sells high-end carbon composite products for the cycling industry. Its clients include the United Health Care Pro Cycling Team, the Santa Cruz Syndicate, Lance Armstrong and most recently, the Tour de France winner Bradley Wiggins.",2010,137,UT,Ogden,"Ogden-Clearfield, UT","$9,400,603","$6,708,066","$2,692,537",421%
245,It-Ity,Health,"A pharmacy benefit manager that processes and pays prescription drug claims, develops and maintains contracts with pharmacies and negotiates discounts and rebates with manufacturers.",2010,31,CA,Fresno,"Fresno, CA","$8,407,359","$1,802,970","$6,604,389",477%
246,Vivatam,Consumer Products & Services,A home furnishings distribution company that provides inventory services for furniture and mattress retailers.,2000,8,NV,Las Vegas,"Las Vegas-Paradise, NV","$9,875,708","$1,988,166","$7,887,542",430%
247,Islotfind,IT Services,"Offers change management, business process management, investment & portfolio management, application development, security services and mobile technology support.",2013,30,DC,Washington,"Washington, DC","$6,498,255","$1,639,880","$4,858,375",404%
248,Yearla,Software,"Provides Web and mobile app design and development with expertise in responsive, location-aware and real-time applications.",2004,31,RI,Providence,"Providence-New Bedford-Fall River, RI-MA","$10,838,442","$5,327,158","$5,511,284",415%
249,Dancane,Software,"Develops document management software to improve the flow of information of organizations of all sizes. Features include tools for document capture, content management, variable data printing, and web forms management.",2010,42,CT,New Haven,"New Haven-Milford, CT","$8,556,024","$3,513,209","$5,042,815",495%
250,Citytrax,Financial Services,Offers books and coaching on strategies to build wealth through investment with less risk.,2010,21,UT,Sandy,Salt Lake City,"$8,891,038","$2,784,971","$6,106,068",332%
251,Y-Corporation,Advertising & Marketing,"A full-service digital agency specializing in strategy, creative, technology, marketing and film for clients of all sizes.",2013,35,CA,Los Angeles,Los Angeles,"$7,583,284","$3,736,574","$3,846,710",550%
252,Voltstreet,Manufacturing,An optoelectronics company that produces a broad selection of LEDs and LED mounting components for sophisticated OEM and retrofit LED industrial applications.,2011,113,CA,Poway,San Diego,"$7,427,781","$2,080,671","$5,347,109",295%
253,Sail-Lam,Government Services,"Offers IT, telecommunications, management and administrative support services to federal and state agencies.",2013,120,MD,Rockville,"Washington, DC","$8,540,290","$5,523,001","$3,017,289",386%
254,Gravetrax,Human Resources,"A complete, modular SaaS platform that can optimize the speed, cost-effectiveness and ease of recruiting for any company using applicant tracking, recruiter CRM and social software services.",2014,122,CA,San Mateo,San Francisco,"$7,223,567","$2,492,629","$4,730,938",293%
255,Zotjoit,IT Services,"A business analytics consulting firm specializing in business intelligence, data warehouse and financial performance management implementations.",2012,50,MN,Bloomington,Minneapolis,"$8,878,988","$5,541,102","$3,337,885",439%
256,Lanelex,Retail,"A retailer of grills, smokers, sauces, accessories, and everything needed for outdoor cooking.",2011,11,KS,Wichita,"Wichita, KS","$9,106,110","$3,351,685","$5,754,425",376%
257,Hayfan,Health,Designs software to streamline administrative functions such as EHR practice management in chiropractic offices.,2012,97,CA,San Diego,San Diego,"$9,678,127","$4,001,114","$5,677,013",380%
258,Lacorporation,Software,"Develops software used for credit analysis, portfolio management and reporting and compliance by institutional investors in high-yield loans, bonds and alternative investments.",2011,73,CA,San Diego,San Diego,"$6,152,561","$4,897,146","$1,255,415",273%
259,Zumma-Lane,Consumer Products & Services,"Designs and supplies home furnishings, clothing, and accessories to more than 4,000 retail stores.",2010,10,CA,San Anselmo,San Francisco,"$11,468,968","$4,088,478","$7,380,489",591%
260,Ganjafan,Government Services,"Works with the federal government to improve the quality, value and efficiency of health care. Its core services include medical review, education and training, program management and systems integration, research and analysis, monitoring and compliance and enrollment and eligibility.",2010,215,NE,Omaha,"Omaha-Council Bluffs, NE-IA","$8,732,985","$5,294,265","$3,438,720",542%
261,Nimlux,Financial Services,"A global payout platform that offers a secure, compliant and cost-effective way for companies of all sizes to offer payment options, including prepaid debit cards, deposits to local banks worldwide and local-currency paper checks.",2013,285,NY,New York,New York City,"$5,753,213","$3,117,206","$2,636,008",394%
262,D-Fincode,Advertising & Marketing,"Specializes in event production and experiential marketing. Combining traditional marketing techniques with event tactics, it uses emerging trends and cultural changes to engage consumers on an emotional level.",2014,11,NY,New York,New York City,"$8,368,125","$4,159,950","$4,208,175",242%
263,Zummacane,Manufacturing,Manufactures printed circuit board products for contract manufacturers and original equipment manufacturers.,2013,10,CA,Arcadia,Los Angeles,"$5,014,465","$2,598,022","$2,416,443",500%
264,Y-Way,Engineering,"Provides technical services, operational intelligence and high-end engineering services for government and commercial clients.",2011,65,VA,MANASSAS,"Washington, DC","$6,932,467","$2,080,260","$4,852,207",271%
265,Tonbase,Food & Beverage,"Delivers take-out meals for 500 eateries in the Northeast, including P.F. Chang's and Pinkberry. Offers gold, silver and bronze medals and cash bonuses to the 3 fastest carriers each month as well as a fleet of electric cars that increase delivery times in an environmentally-friendly manner.",2011,108,MA,Boston,Boston,"$9,536,474","$1,372,865","$8,163,609",438%
266,Tran-It,Education,Provides college admission and career planning coaching and preparation services at 13 offices in nine states.,2013,31,CA,Carlsbad,San Diego,"$8,276,019","$1,473,618","$6,802,401",382%
267,X-Lax,Human Resources,"Offers IT recruiting, staffing and business tax consulting in 28 states and 9 countries.",2014,0,TX,Dallas,Dallas,"$6,340,280","$3,794,813","$2,545,467",511%
268,Dento-Fix,Advertising & Marketing,"Operates an online platform that rewards consumers for their online activities with virtual currency that they can redeem for real life rewards, goods and services.",2010,110,CA,El Segundo,Los Angeles,"$7,075,544","$6,812,829","$262,714",333%
269,Gogofan,Construction,"Provides commercial drywall, stucco, insulation, acoustical ceilings, barricades, and millwork installation services.",2011,75,FL,Winter Garden,"Orlando, FL","$7,826,433","$5,608,635","$2,217,798",372%
270,Sub-Fan,Software,"A mobile software developer that builds apps for iPhone, iPad, and Android.",2014,24,MA,Boston,Boston,"$7,178,217","$4,916,737","$2,261,481",331%
271,Scotzone,Consumer Products & Services,Manufactures and distributes retro-inspired teardrop campers sold through about 70 RV dealerships across the U.S. and Canada.,2011,7,OH,Massillon,"Canton-Massillon, OH","$10,784,955","$3,735,556","$7,049,400",349%
272,Mediagreen,Health,"Provides 24/7 access to nonemergency medical care via phone, secure online video, mobile app, or the company's HealthSpot stations.",2013,80,TX,Dallas,Dallas,"$7,480,998","$758,416","$6,722,582",550%
273,Zottex,Advertising & Marketing,A social analytics agency that conducts linguistic analysis of social media discussion and applies digital marketing expertise.,2011,6,PA,New Hope,Philadelphia,"$9,237,032","$6,461,790","$2,775,242",242%
274,Xx-Com,Retail,Sells new and used vehicles from dealerships across West Texas.,2013,308,TX,Lubbock,"Lubbock, TX","$13,533,083","$2,163,836","$11,369,247",521%
275,Toughcare,Retail,An online color cosmetics company that provides high-quality makeup worldwide.,2009,45,CA,Burbank,Los Angeles,"$10,429,629","$5,796,075","$4,633,554",400%
276,Sailbam,Telecommunications,"Develops and markets inflatable satellite communication antennas and systems that can be quickly deployed for high-bandwidth communications in remote, hard-to-reach areas. Its communications terminals have been used by US and allied military, intelligence and homeland security organizations.",2011,43,AL,Huntsville,"Huntsville, AL","$8,219,737","$5,224,239","$2,995,499",320%
277,Mathstrip,Government Services,"Specializes in IT consulting, IT support, application development, management consulting and a variety of financial management and consulting services for the federal government.",2011,48,VA,Reston,"Washington, DC","$10,236,594","$4,788,684","$5,447,910",356%
278,Vilait,Software,Provides technological performance monitoring through data collection to companies across the globe.,2011,240,DE,Wilmington,Philadelphia,"$5,691,853","$3,250,700","$2,441,153",488%
279,Dandrill,Advertising & Marketing,"A social media, PR and display marketing agency that uses highly-focused, data-driven demographic targeting and aggressive conversion techniques for clients ranging from iconic multinationals to start-ups.",2002,24,MN,Duluth,"Duluth, MN-WI","$9,834,143","$3,110,144","$6,723,999",391%
280,Konkin,Health,"Distributes exercise products for the athletic and health industries. Its self-massage and myofascial compression techniques help users manage pain, unlock energy and enhance workouts.",2000,32,TX,Austin,Austin,"$8,397,677","$753,444","$7,644,232",401%
281,Unoline,IT Services,"Delivers Microsoft Dynamics customer relationship management services through support, education, and add-ons.",2011,140,MN,Minneapolis,Minneapolis,"$11,086,524","$5,624,600","$5,461,924",203%
282,Indihow,Consumer Products & Services,"A general practice law firm that offers a focus in real estate, automobile accidents, personal injury, business formation and corporate law, criminal defense, domestic issues and family law, wills/estate planning and probate law, general civil law, civil litigation, and creditors' rights.",2011,70,SC,Columbia,"Columbia, SC","$8,189,502","$3,451,949","$4,737,553",563%
283,Truesaokix,Health,"Provides assessment and treatment for substance abuse, addiction, mental health, eating disorders, and dual diagnosis. Treatment includes psychotherapy, art and music therapy, equine therapy, and life skills and mindfulness techniques.",2010,160,CA,San Clemente,Los Angeles,"$12,507,074","$3,705,847","$8,801,227",550%
284,Lamlax,IT Services,"Provides cyber security, engineering, and managed services to government agencies and to companies in financial services, food and beverage, and law.",2010,30,PA,Horsham,Philadelphia,"$10,016,295","$3,263,194","$6,753,101",418%
285,Saotaxon,Software,"Performs Web, mobile, and enterprise application development, using Ruby on Rails, Java, Android, iOS, and other technologies.",2000,76,IL,Chicago,Chicago,"$8,440,576","$5,383,015","$3,057,561",414%
286,Dentoing,Manufacturing,"Manufactures and wholesales custom audio/video products and accessories, serving the custom electronics and installation industry on a direct-to-dealer platform.",2004,164,NC,Charlotte,Charlotte,"$11,595,135","$5,645,413","$5,949,722",272%
287,Sanzatrax,Construction,"A general contractor that performs engineering, fine grading and concrete work.",2012,49,CA,San Diego,San Diego,"$6,219,995","$4,489,463","$1,730,532",502%
288,Geoelectronics,Software,"Develops more than 500 mobile dictionaries running on any available mobile platform, and makes OfficeSuite, a product that creates, views, edits, and saves Word, Excel, PowerPoint, and other documents.",2010,75,CA,San Diego,San Diego,"$10,684,183","$7,693,563","$2,990,620",435%
289,Konktouch,Software,"Provides an all-in-one cloud-based internal management, sales and service marketing platform for auto dealer groups and individual auto dealerships.",2012,489,KS,Overland Park,"Kansas City, MO-KS","$5,720,259","$4,434,901","$1,285,359",416%
290,Trans-Dexon,Financial Services,"Specializes in foreign exchange trading technology, software, support, transaction processing services and liquidity access for institutional FX market participants.",2003,77,MA,Boston,Boston,"$9,447,285","$3,498,325","$5,948,961",519%
291,Indigolane,Business Products & Services,"A professional services firm that provides clients with focused business attention and resource bandwidth, offering best-fit resources in project management, change management and business analysis.",2010,58,WA,Bellevue,Seattle,"$7,165,092","$6,999,551","$165,541",457%
292,Fintax,Advertising & Marketing,"Provides a comprehensive lead serivce package to clients that enhances their revenue potential and market position. It has developed a proprietary platform called LeadJetTM that provides the ability to quickly build, manage and improve the performance of campaigns across multiple media types.",2000,12,IL,Chicago,Chicago,"$6,527,993","$4,132,039","$2,395,954",341%
293,Overlane,Food & Beverage,Brews craft beers that have garnered awards at the Great American Beer Festival and the enthusiasm of a growing local fan-base.,2014,24,NC,Raleigh,"Raleigh-Cary, NC","$7,200,055","$4,151,687","$3,048,368",360%
294,Zimholding,IT Services,"Provides nonprofits, private sector businesses and government with advanced technological services to help them run more effectively.",2002,7,OR,Portland,"Portland, OR","$8,905,706","$405,045","$8,500,661",358%
295,Scot-Lex,IT Services,Provides business intelligence and data warehousing as well as IT staffing and consulting services.,2013,34,MA,Chelmsford,Boston,"$7,975,996","$4,097,491","$3,878,505",445%
296,Lexitrans,Health,Provides medical insurance for pets.,2012,335,WA,Seattle,Seattle,"$9,152,251","$6,653,818","$2,498,433",554%
297,Phystouch,IT Services,An IT contracting firm serving large national companies with contractors in 25 states. Its business is based almost solely on referrals.,2011,12,NC,Waxhaw,Charlotte,"$9,530,025","$847,470","$8,682,555",336%
298,Trestouch,Insurance,"Specializes in underwriting commercial, auto and unique property and casualty lines.",2012,59,CA,Los Angeles,Los Angeles,"$10,512,433","$2,267,715","$8,244,718",357%
299,Silicontrans,Business Products & Services,"Specializes in offset and digital printing, design and fulfillment services.",2011,14,TX,Plano,Dallas,"$8,006,959","$7,564,828","$442,131",289%
300,K-Job,IT Services,"Provides IT strategy consulting, infrastructure services, application services, and operations and support to commercial and government clients.",2013,150,VA,Reston,"Washington, DC","$7,008,969","$3,517,340","$3,491,629",485%
301,Santechno,Advertising & Marketing,"Specializes in online marketing with a wide range of services including analytics, eCommerce and landing page optimization.",2010,83,NJ,Mount Laurel,Philadelphia,"$9,604,261","$4,917,054","$4,687,208",324%
302,Vilamedia,Software,"Provides software services in cross-platform optimization & collaboration, advanced data analytics & visualization and large data handling for the US Government and Fortune 500 companies.",2011,126,VA,Blacksburg,"Blacksburg-Christiansburg-Radford, VA","$8,605,926","$3,454,719","$5,151,207",362%
303,Bignamjob,Health,"A Joint Commission-accredited national healthcare provider, specializing in community-based care and transitioning patients from hospital to home.",2013,131,IL,Elk Grove Village,Chicago,"$8,326,486","$5,705,075","$2,621,412",408%
304,Transcon,Food & Beverage,"Imports and distributes 1,200 wines to about 3,500 retailers and restaurants.",2013,44,NY,New York,New York City,"$7,442,321","$4,198,562","$3,243,759",537%
305,Kayplus,Government Services,"Supports the Departments of Defense and Homeland Security with services in language translation, operations program management and training for projects in counter-terrorism, intelligence and logistics.",2010,154,FL,Clearwater,Tampa,"$10,855,879","$4,611,400","$6,244,479",417%
306,Hottom,Software,"Fuses creative and technical expertise in mobile application development, Web development and social media to build custom software. It leverages hardware disruption, content management systems, education technology, augmented reality, gamification and user-centric design.",2011,40,MD,Baltimore,Baltimore,"$10,381,784","$2,093,538","$8,288,245",284%
307,Voltech,Software,"Provides Salesforce professional services, tech support, business process improvement consulting and productivity apps for Salesforce on the AppExchange.",2009,23,NJ,Hamilton,"Trenton-Ewing, NJ","$11,211,911","$5,213,751","$5,998,160",374%
308,Lamdombase,Construction,"Builds data centers, retail and office spaces, industrial and light manufacturing facilities, and warehouse and distribution centers.",2012,7,TX,Houston,Houston,"$11,428,457","$5,595,183","$5,833,273",474%
309,Zathtechi,Software,"Develops big data technology that integrates with promotional calendars, staffing systems, and weather services to helps retailers and manufacturers collect, analyze, and visualize in-store data and see how internal and external factors affect customers' shopping patterns.",2003,87,CA,San Jose,San Jose,"$7,187,775","$2,286,092","$4,901,683",586%
